,CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Lat,Long,Zip
2410,THEFT/LARCENY,2018-01-20 00:00:00,18-004075,BURGLARY-AUTO,25Y,6200 VIEW CREST DR,Oakland,CA,37.7847208,-122.1656089,94619
2411,ASSAULT,2018-01-11 00:14:00,18-001773,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,07X,2400 WILLOW ST,Oakland,CA,37.8196407,-122.2909552,94607
2412,ROBBERY,2018-01-23 13:25:00,18-004079,SC ROBBERY - FIREARM,14X,600 BELLEVUE AV,Oakland,CA,37.8071939,-122.2559775,94610
2413,THEFT/LARCENY,2018-01-10 12:00:00,18-001779,GRAND THEFT,23X,1500 34TH AV,Oakland,CA,37.7777619,-122.2227991,94601
2414,THEFT/LARCENY,2018-01-10 22:52:00,18-001780,THEFT,19X,1500 6TH AV,Oakland,CA,37.795687,-122.2520621,94606
2415,MOTOR VEHICLE THEFT,2018-02-09 08:00:00,18-007397,VEHICLE THEFT - AUTO,17Y,2500 7TH AV,Oakland,CA,37.8014842,-122.2422814,94606
2416,MOTOR VEHICLE THEFT,2018-01-23 17:44:00,18-004181,VEHICLE THEFT - AUTO,32Y,9800 TOLER AV,Oakland,CA,37.7477193,-122.1598419,94603
2417,MOTOR VEHICLE THEFT,2018-01-24 01:45:00,18-004183,VEHICLE THEFT - AUTO,35X,HILLSIDE ST & 89TH AV,Oakland,CA,37.75565539999999,-122.1634169,94605
2418,BURGLARY,2018-01-24 01:05:00,18-004188,BURGLARY-FORCIBLE ENTRY,20X,2900 INTERNATIONAL BLVD,Oakland,CA,37.7793154,-122.2287609,94601
2419,ASSAULT,2018-01-24 02:45:00,18-004191,BATTERY,15X,1700 2ND AV,Oakland,CA,37.7993319,-122.2543811,94606
2420,ARSON,2018-01-24 03:15:00,18-004192,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,25X,5600 MOUNTAIN BLVD,Oakland,CA,37.7850518,-122.1780414,94619
2421,ASSAULT,2018-01-24 07:22:00,18-004197,INFLICT CRPL INJ SP/COHAB,19X,1400 21ST AV,Oakland,CA,37.7852088,-122.2389175,94606
2422,ASSAULT,2018-01-24 11:00:00,18-004332,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,27X,2000 HIGH ST,Oakland,CA,37.7761126,-122.2102736,94601
2423,WEAPONS,2018-01-11 13:25:00,18-001910,CARRY CONCEALED WEAPON IN VEHICLE,34X,1600 AUSEON AV,Oakland,CA,37.75297990000001,-122.1745816,94621
2424,BURGLARY,2018-01-21 18:00:00,18-004333,BURGLARY-NO FORCE,18Y,2600 19TH AV,Oakland,CA,37.79524019999999,-122.2322625,94606
2425,THEFT/LARCENY,2018-01-24 17:00:00,18-004334,BURGLARY-AUTO,14X,100 BAY PL,Oakland,CA,37.811864,-122.260323,94610
2426,DRUGS/ALCOHOL VIOLATIONS,2018-01-24 21:36:00,18-004335,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,08X,27TH ST & NORTHGATE AV,Oakland,CA,37.8170407,-122.2709894,94609
2427,ASSAULT,2018-01-24 21:30:00,18-004338,BATTERY,04X,1400 BROADWAY,Oakland,CA,37.8044524,-122.2709044,94612
2428,VANDALISM,2018-01-16 12:00:00,18-901623,VANDALISM,09X,4000 HOWE ST,Oakland,CA,37.826318,-122.253741,94611
2429,MOTOR VEHICLE THEFT,2018-01-22 22:00:00,18-004089,VEHICLE THEFT - AUTO,18Y,2000 E 26TH ST,Oakland,CA,37.79478930000001,-122.2314203,94606
2430,ASSAULT,2018-01-22 18:00:00,18-004093,BATTERY,24Y,35TH AV & SCHOOL ST,Oakland,CA,37.7908693,-122.2054561,94602
2431,ROBBERY,2018-01-23 15:30:00,18-004094,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",30Y,2600 73RD AV,Oakland,CA,37.766714,-122.175264,94605
2432,ROBBERY,2018-01-23 15:43:00,18-004096,ROBBERY-FIREARM,01X,400 BROADWAY,Oakland,CA,37.7975876,-122.2748705,94607
2433,BURGLARY,2018-01-23 22:43:00,18-004167,BURGLARY-FORCIBLE ENTRY,25X,3800 MAGEE AV,Oakland,CA,37.7944275,-122.1970643,94619
2434,MOTOR VEHICLE THEFT,2018-01-09 17:30:00,18-001829,VEHICLE THEFT - OTHER VEHICLES,23X,1500 33RD AV,Oakland,CA,37.7785211,-122.2237899,94601
2435,MOTOR VEHICLE THEFT,2018-01-23 17:00:00,18-004204,VEHICLE THEFT - AUTO,33X,9300 E ST,Oakland,CA,37.7450184,-122.1789026,94603
2436,ROBBERY,2018-01-11 10:11:00,18-001832,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",18X,2000 16TH AV,Oakland,CA,37.7925023,-122.2398857,94606
2437,MOTOR VEHICLE THEFT,2018-01-24 08:15:00,18-004205,VEHICLE THEFT - AUTO,31Y,00 HEGENBERGER LOOP,Oakland,CA,37.7343344,-122.1977391,94621
2438,THEFT/LARCENY,2018-01-11 10:54:00,18-001835,PERSONATE TO GET MONEY/PROPERTY,27Y,5700 INTERNATIONAL BLVD,Oakland,CA,37.7662169,-122.2011564,94621
2439,DRUGS/ALCOHOL VIOLATIONS,2018-01-24 10:05:00,18-004222,POSSESS CONTROLLED SUBSTANCE FOR SALE,30Y,7800 BANCROFT AV,Oakland,CA,37.7634872,-122.1738509,94605
2440,ASSAULT,2018-01-24 22:00:00,18-004340,BATTERY W/SERIOUS BODILY INJURY,23X,3300 E 12TH ST,Oakland,CA,37.77622240000001,-122.2249364,94601
2441,DISTURBING THE PEACE,2018-01-23 12:00:00,18-004434,DISTURB THE PEACE,24Y,3500 PENNIMAN AV,Oakland,CA,37.7900939,-122.2065078,94619
2442,DISTURBING THE PEACE,2018-01-21 00:00:00,18-004446,DISTURB THE PEACE,29X,6100 OVERDALE AV,Oakland,CA,37.7802161,-122.175057,94605
2443,BURGLARY,2018-01-25 11:50:00,18-004449,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,03X,300 9TH ST,Oakland,CA,37.7994965,-122.2697819,94607
2444,THEFT/LARCENY,2017-12-29 22:30:00,18-900694,BURGLARY-AUTO,06X,37TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,37.8263095,-122.2692974,94609
2445,ASSAULT,2018-01-25 11:46:00,18-004450,THREAT CRIME:INT:TERRORIZE,08X,2200 TELEGRAPH AV,Oakland,CA,37.811502,-122.2687119,94612
2446,ASSAULT,2018-01-23 21:34:00,18-004170,BATTERY,18X,2000 23RD AV,Oakland,CA,37.787612,-122.2320274,94606
2447,ASSAULT,2018-01-10 16:00:00,18-001785,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,15X,800 MACARTHUR BLVD,Oakland,CA,37.8070603,-122.2407721,94610
2448,DRUGS/ALCOHOL VIOLATIONS,2018-01-23 23:17:00,18-004171,POSSESS NARCOTIC CONTROLLED SUBSTANCE,32X,1400 105TH AV,Oakland,CA,37.7392625,-122.1667318,94603
